timestamp,country_residency,ip_country,important_score
2024-04-22 17:23:37,Bermuda,Bermuda,0
2024-04-24 10:20:19,,Bermuda,0
2024-04-24 13:32:27,Bermuda,Bermuda,0
2024-04-24 23:16:04,,Bermuda,0
2024-04-25 15:41:27,,Bermuda,0
2024-04-26 19:21:17,Bermuda,Bermuda,0
2024-04-26 22:08:58,Bermuda,Bermuda,0
2024-04-28 15:33:28,Bermuda,Bermuda,0
2024-04-28 16:44:46,Bermuda,Bermuda,10
2024-04-28 16:56:49,Bermuda,Bermuda,10
2024-04-30 17:51:05,,Bermuda,0
2024-05-01 00:25:04,Bermuda,Bermuda,0
2024-05-01 00:27:49,Bermuda,Bermuda,0
2024-05-05 04:37:25,Bermuda,Bermuda,0
2024-05-05 21:45:56,,Bermuda,0
2024-05-05 21:46:23,,Bermuda,0
2024-05-07 16:10:40,Bermuda,Bermuda,0
2024-05-08 02:15:30,,Bermuda,0
2024-05-08 23:53:46,,Bermuda,0
2024-05-15 02:07:55,Bermuda,Bermuda,0
2024-05-15 16:13:09,,Bermuda,0
2024-05-15 20:40:00,,Bermuda,0
2024-05-18 18:21:19,,Bermuda,0
2024-05-18 18:21:53,,Bermuda,0
2024-05-18 18:21:56,,Bermuda,0
2024-05-19 11:39:58,,Bermuda,0
2024-05-20 19:04:51,,Bermuda,0
2024-05-24 22:50:24,,Bermuda,0
